No.,名称,经度,纬度,值
0,0,90.703125000,45.703125000,1368.498
1,0,92.109375000,45.703125000,1517.998
2,0,93.515625000,45.703125000,1667.497
3,0,94.921875000,45.703125000,1816.997
4,0,96.328125000,45.703125000,1870.122
5,0,97.734375000,45.703125000,1826.872
6,0,99.140625000,45.703125000,1783.622
7,0,100.546875000,45.703125000,1740.372
8,0,101.953125000,45.703125000,1417.623
9,0,103.359375000,45.703125000,1342.373
10,0,104.765625000,45.703125000,1267.123
11,0,106.171875000,45.703125000,1191.873
12,0,107.578125000,45.703125000,1140.373
13,0,108.984375000,45.703125000,1112.623
14,0,110.390625000,45.703125000,1084.873
15,0,111.796875000,45.703125000,1057.123
16,0,113.203125000,45.703125000,893.624
17,0,114.609375000,45.703125000,875.874
18,0,116.015625000,45.703125000,858.124
19,0,117.421875000,45.703125000,840.374
20,0,118.828125000,45.703125000,729.249
21,0,120.234375000,45.703125000,524.749
22,0,121.640625000,45.703125000,320.250
23,0,123.046875000,45.703125000,115.750
24,0,124.453125000,45.703125000,-157.564
25,0,125.859375000,45.703125000,25.936
26,0,127.265625000,45.703125000,209.436
27,0,128.671875000,45.703125000,392.935
28,0,130.078125000,45.703125000,437.935
29,0,131.484375000,45.703125000,344.435
30,0,132.890625000,45.703125000,250.935
31,0,134.296875000,45.703125000,157.436
32,0,90.703125000,44.296875000,1447.998
33,0,92.109375000,44.296875000,2089.497
34,0,93.515625000,44.296875000,2238.996
35,0,94.921875000,44.296875000,2388.496
36,0,96.328125000,44.296875000,2441.621
37,0,97.734375000,44.296875000,2398.371
38,0,99.140625000,44.296875000,2355.121
39,0,100.546875000,44.296875000,1752.372
40,0,101.953125000,44.296875000,1429.623
41,0,103.359375000,44.296875000,1386.873
42,0,104.765625000,44.296875000,1311.623
43,0,106.171875000,44.296875000,1236.373
44,0,107.578125000,44.296875000,1184.873
45,0,108.984375000,44.296875000,1157.123
46,0,110.390625000,44.296875000,1129.373
47,0,111.796875000,44.296875000,1074.623
48,0,113.203125000,44.296875000,911.124
49,0,114.609375000,44.296875000,638.874
50,0,116.015625000,44.296875000,621.124
51,0,117.421875000,44.296875000,603.374
52,0,118.828125000,44.296875000,492.249
53,0,120.234375000,44.296875000,287.750
