No.,名称,经度,纬度,值
0,0,101.601562500,45.351562500,1337.123
1,0,102.304687500,45.351562500,1275.123
2,0,103.007812500,45.351562500,1213.123
3,0,103.710937500,45.351562500,1151.123
4,0,104.414062500,45.351562500,1192.498
5,0,105.117187500,45.351562500,1179.248
6,0,105.820312500,45.351562500,1165.998
7,0,106.523437500,45.351562500,1152.748
8,0,107.226562500,45.351562500,1138.248
9,0,107.929687500,45.351562500,1088.248
10,0,108.632812500,45.351562500,1038.248
11,0,109.335937500,45.351562500,988.248
12,0,110.039062500,45.351562500,981.998
13,0,110.742187500,45.351562500,1004.248
14,0,111.445312500,45.351562500,1026.498
15,0,112.148437500,45.351562500,1048.748
16,0,112.851562500,45.351562500,1063.373
17,0,113.554687500,45.351562500,1130.123
18,0,114.257812500,45.351562500,1196.873
19,0,114.960937500,45.351562500,1263.623
20,0,115.664062500,45.351562500,1254.748
21,0,116.367187500,45.351562500,1170.248
22,0,117.070312500,45.351562500,1085.748
23,0,117.773437500,45.351562500,1001.248
24,0,118.476562500,45.351562500,867.874
25,0,119.179687500,45.351562500,736.874
26,0,119.882812500,45.351562500,605.874
27,0,120.585937500,45.351562500,474.874
28,0,121.289062500,45.351562500,372.624
29,0,121.992187500,45.351562500,299.125
30,0,122.695312500,45.351562500,225.625
31,0,123.398437500,45.351562500,152.125
32,0,101.601562500,44.648437500,1207.373
33,0,102.304687500,44.648437500,1145.373
34,0,103.007812500,44.648437500,1083.373
35,0,103.710937500,44.648437500,1179.373
36,0,104.414062500,44.648437500,1220.748
37,0,105.117187500,44.648437500,1207.498
38,0,105.820312500,44.648437500,1194.248
39,0,106.523437500,44.648437500,1115.748
40,0,107.226562500,44.648437500,1101.248
41,0,107.929687500,44.648437500,1150.748
42,0,108.632812500,44.648437500,1100.748
43,0,109.335937500,44.648437500,1050.748
44,0,110.039062500,44.648437500,1044.498
45,0,110.742187500,44.648437500,1081.998
46,0,111.445312500,44.648437500,1104.248
47,0,112.148437500,44.648437500,1126.498
48,0,112.851562500,44.648437500,1141.123
49,0,113.554687500,44.648437500,1148.123
50,0,114.257812500,44.648437500,1214.873
51,0,114.960937500,44.648437500,1281.623
52,0,115.664062500,44.648437500,1272.748
53,0,116.367187500,44.648437500,1188.248
54,0,117.070312500,44.648437500,1103.748
55,0,117.773437500,44.648437500,1021.998
56,0,118.476562500,44.648437500,888.624
57,0,119.179687500,44.648437500,703.624
58,0,119.882812500,44.648437500,572.624
59,0,120.585937500,44.648437500,441.624
60,0,121.289062500,44.648437500,339.374
61,0,121.992187500,44.648437500,265.875
62,0,122.695312500,44.648437500,192.375
63,0,123.398437500,44.648437500,135.125
64,0,101.601562500,43.945312500,1077.623
65,0,102.304687500,43.945312500,1015.623
66,0,103.007812500,43.945312500,1111.623
67,0,103.710937500,43.945312500,1207.623
68,0,104.414062500,43.945312500,1248.998
69,0,105.117187500,43.945312500,1235.748
70,0,105.820312500,43.945312500,1157.248
71,0,106.523437500,43.945312500,1078.748
72,0,107.226562500,43.945312500,1064.248
73,0,107.929687500,43.945312500,1113.748
74,0,108.632812500,43.945312500,1163.248
75,0,109.335937500,43.945312500,1113.248
76,0,110.039062500,43.945312500,1106.998
77,0,110.742187500,43.945312500,1144.498
78,0,111.445312500,43.945312500,1181.998
79,0,112.148437500,43.945312500,1204.248
80,0,112.851562500,43.945312500,1218.873
81,0,113.554687500,43.945312500,1225.873
82,0,114.257812500,43.945312500,1232.873
83,0,114.960937500,43.945312500,1299.623
84,0,115.664062500,43.945312500,1290.748
85,0,116.367187500,43.945312500,1206.248
86,0,117.070312500,43.945312500,1124.498
87,0,117.773437500,43.945312500,1042.748
88,0,118.476562500,43.945312500,909.374
89,0,119.179687500,43.945312500,724.374
90,0,119.882812500,43.945312500,539.374
91,0,120.585937500,43.945312500,408.374
92,0,121.289062500,43.945312500,306.125
93,0,121.992187500,43.945312500,232.625
94,0,122.695312500,43.945312500,175.375
95,0,123.398437500,43.945312500,118.125
96,0,101.601562500,43.242187500,947.874
97,0,102.304687500,43.242187500,1043.873
98,0,103.007812500,43.242187500,1139.873
99,0,103.710937500,43.242187500,1235.873
100,0,104.414062500,43.242187500,1277.248
101,0,105.117187500,43.242187500,1198.748
102,0,105.820312500,43.242187500,1120.248
103,0,106.523437500,43.242187500,1041.748
104,0,107.226562500,43.242187500,1027.248
105,0,107.929687500,43.242187500,1076.748
106,0,108.632812500,43.242187500,1126.248
107,0,109.335937500,43.242187500,1175.748
108,0,110.039062500,43.242187500,1169.498
109,0,110.742187500,43.242187500,1206.998
110,0,111.445312500,43.242187500,1244.498
111,0,112.148437500,43.242187500,1281.998
112,0,112.851562500,43.242187500,1296.623
113,0,113.554687500,43.242187500,1303.623
114,0,114.257812500,43.242187500,1310.623
115,0,114.960937500,43.242187500,1317.623
116,0,115.664062500,43.242187500,1308.748
117,0,116.367187500,43.242187500,1226.998
118,0,117.070312500,43.242187500,1145.248
119,0,117.773437500,43.242187500,1063.498
120,0,118.476562500,43.242187500,930.124
121,0,119.179687500,43.242187500,745.124
122,0,119.882812500,43.242187500,560.124
123,0,120.585937500,43.242187500,375.124
124,0,121.289062500,43.242187500,272.875
125,0,121.992187500,43.242187500,215.625
126,0,122.695312500,43.242187500,158.375
127,0,123.398437500,43.242187500,101.125
128,0,101.601562500,42.539062500,1032.873
129,0,102.304687500,42.539062500,1128.873
130,0,103.007812500,42.539062500,1224.873
131,0,103.710937500,42.539062500,1320.873
132,0,104.414062500,42.539062500,1299.498
133,0,105.117187500,42.539062500,1220.998
134,0,105.820312500,42.539062500,1142.498
135,0,106.523437500,42.539062500,1063.998
136,0,107.226562500,42.539062500,1037.123
137,0,107.929687500,42.539062500,1086.623
138,0,108.632812500,42.539062500,1136.123
139,0,109.335937500,42.539062500,1185.623
140,0,110.039062500,42.539062500,1170.623
141,0,110.742187500,42.539062500,1208.123
142,0,111.445312500,42.539062500,1245.623
143,0,112.148437500,42.539062500,1283.123
144,0,112.851562500,42.539062500,1305.373
145,0,113.554687500,42.539062500,1312.373
146,0,114.257812500,42.539062500,1319.373
147,0,114.960937500,42.539062500,1326.373
148,0,115.664062500,42.539062500,1190.248
149,0,116.367187500,42.539062500,1108.498
150,0,117.070312500,42.539062500,1026.748
151,0,117.773437500,42.539062500,944.999
152,0,118.476562500,42.539062500,858.376
153,0,119.179687500,42.539062500,727.839
154,0,119.882812500,42.539062500,566.666
155,0,120.585937500,42.539062500,381.666
156,0,121.289062500,42.539062500,196.666
157,0,121.992187500,42.539062500,139.416
158,0,122.695312500,42.539062500,82.167
159,0,123.398437500,42.539062500,50.769
160,0,101.601562500,41.835937500,1174.623
161,0,102.304687500,41.835937500,1270.623
162,0,103.007812500,41.835937500,1366.623
163,0,103.710937500,41.835937500,1324.123
164,0,104.414062500,41.835937500,1302.748
165,0,105.117187500,41.835937500,1302.498
166,0,105.820312500,41.835937500,1223.998
167,0,106.523437500,41.835937500,1145.498
168,0,107.226562500,41.835937500,1118.623
169,0,107.929687500,41.835937500,1143.373
170,0,108.632812500,41.835937500,1192.873
171,0,109.335937500,41.835937500,1242.373
172,0,110.039062500,41.835937500,1227.373
173,0,110.742187500,41.835937500,1147.873
174,0,111.445312500,41.835937500,1185.373
175,0,112.148437500,41.835937500,1222.873
176,0,112.851562500,41.835937500,1245.123
177,0,113.554687500,41.835937500,1252.123
178,0,114.257812500,41.835937500,1259.123
179,0,114.960937500,41.835937500,1027.123
180,0,115.664062500,41.835937500,890.999
